$, Claw;OnCreativity (2012)  [Himself]
'El Gato', Félix;Especial humor: Vaya... y vuelta (1996) (TV)  [Himself] La noche de los inocentes (1997) (TV)  [Himself] Muchas gracias 1996 (1996) (TV)  [Himself] Pelotazo nacional (1993)  [Rebolledo]  <12> Amigos en la noche (2001) {(2001-05-11)}  [Himself] Cita con la vida (1993) {(1996-01-03)}  [Himself] El concursazo (1997) {(1998-09-05)}  [Himself] Esto es espectáculo (1994) {(1994-12-23)} Esto es espectáculo (1994) {(1995-01-20)}  [Himself] Esto es espectáculo (1994) {(1995-02-05)}  [Himself] Esto es espectáculo (1994) {(1995-04-21)}  [Himself] Esto es espectáculo (1994) {(1995-04-28)}  [Himself] Esto es espectáculo (1994) {(1995-05-05)}  [Himself] Esto es espectáculo (1994) {(1995-05-19)}  [Himself] Esto es espectáculo (1994) {(1995-05-26)}  [Himself] Esto es espectáculo (1994) {(1995-06-02)}  [Himself] Esto es espectáculo (1994) {(1995-06-09)}  [Himself] Esto es espectáculo (1994) {(1995-06-16)}  [Himself] Esto es espectáculo (1994) {(1995-06-23)}  [Himself] Esto es espectáculo (1994) {(1995-06-30)}  [Himself] Esto es espectáculo (1994) {(1995-07-14)}  [Himself] Esto es espectáculo (1994) {(1995-07-21)}  [Himself] Esto es espectáculo (1994) {(1995-11-10)}  [Himself] Esto es espectáculo (1994) {(1995-11-17)}  [Himself] Esto es espectáculo (1994) {(1996-03-15)}  [Himself] Esto es espectáculo (1994) {(1996-04-19)}  [Himself] Humor se escribe con h (2000) {(2000-06-06)}  [Himself] Humor se escribe con h (2000) {(2000-10-03)}  [Himself] Humor se escribe con h (2000) {(2001-02-09)}  [Himself] Humor se escribe con h (2000) {(2001-03-20)}  [Himself] Humor se escribe con h (2000) {(2001-04-10)}  [Himself] Noche de fiesta (1999) {(2000-11-11)}  [Himself] Noche de fiesta (1999) {(2001-01-13)}  [Himself] Noche de fiesta (1999) {(2001-01-20)}  [Himself] Noche de fiesta (1999) {(2001-06-16)}  [Himself] Noche de fiesta (1999) {(2001-08-04)}  [Himself] Noche de fiesta (1999) {(2002-01-26)}  [Himself] Noche de fiesta (1999) {(2002-08-10)}  [Himself] Noche de fiesta (1999) {(2002-12-21)}  [Himself] Noche de fiesta (1999) {(2003-04-12)}  [Himself] Noche de fiesta (1999) {(2003-04-26)}  [Himself] Noche de fiesta (1999) {(2003-07-12)} Noche de fiesta (1999) {(2003-08-16)} Querida Concha (1992) {(1992-10-18)} Querida Concha (1992) {(1993-01-10)} Querida Concha (1992) {(1993-01-31)} Querida Concha (1992) {(1993-02-14)} Querida Concha (1992) {(1993-02-21)} Querida Concha (1992) {(1993-02-28)} Querida Concha (1992) {(1993-03-07)} Querida Concha (1992) {(1993-03-21)} Querida Concha (1992) {(1993-03-28)} Querida Concha (1992) {(1993-04-18)} Querida Concha (1992) {(1993-05-02)}  [Himself - Comedian] Simplemente Mayra (1990) {(1990-03-11)}  [Himself] Sonrisas de España (1996) {(1996-08-19)}  [Himself] Sonrisas de España (1996) {(1996-08-26)}  [Himself] Uno para todas (1995) {(1996-02-13)}  [Staff Humorist]  <3> Uno para todas (1995) {(1996-02-20)}  [Staff Humorist]  <3> Uno para todas (1995) {(1996-02-27)}  [Staff Humorist]  <3> Uno para todas (1995) {(1996-07-04)}  [Staff Humorist]  <3> Uno para todas (1995) {(1996-07-11)}  [Staff Humorist]  <3> Uno para todas (1995) {(1996-07-18)}  [Staff Humorist]  <3> Uno para todas (1995) {(1996-07-25)}  [Staff Humorist]  <3> Uno para todas (1995) {(1996-08-01)}  [Staff Humorist]  <3> Uno para todas (1995) {(1996-08-08)}  [Staff Humorist]  <3> Uno para todas (1995) {(1996-08-15)}  [Staff Humorist]  <3> Uno para todas (1995) {(1996-08-22)}  [Staff Humorist]  <3> Uno para todas (1995) {(1996-08-29)}  [Staff Humorist]  <3> Vaya nochecita (1995) {(1995-01-09)}  [Himself] VIP noche (1990) {(1990-11-25)} ¡Vaya diablillos! (1995)  [Himself] ¡¡Al ataque!! (2010)  [Himself - Comedian] ¡¡Al ataque!! (2010) {(2010-02-28)}  [Himself - Comedian] ¡¡Al ataque!! (2010) {(2010-03-14)}  [Himself - Comedian] ¡¡Al ataque!! (2010) {(2010-03-21)}  [Himself - Comedian] ¡¡Al ataque!! (2010) {(2010-03-28)}  [Himself - Comedian]
'El Guisa';Los tarantos (1963)  [Bailaor]  <25>
'El Happy' Lora, Miguel;La granja tolima (2004)  [Himself]
'El Jalisco', Marcial;Entre las patas de los caballos (2000)  <10>
'El Morito', José;Torrente 2: Misión en Marbella (2001)  [Amigo Cigala #2]  <24>
'El Niño de la Manola', Francisco;Los Almendros - Plaza nueva - (2000)  [Segundo Cuadro Flamenco 'Tangos Festeros': Guitarrista]
'El Payaso', Víctor;De la calle (2001)  [Chavo Banda Galerias]  <83>
'El Pescaíto', Antonio;Los Almendros - Plaza nueva - (2000)  [Tercer Cuadro Flamenco 'Soleares': Bailaor]
'El Plojo', Luis;De la calle (2001)  [Froilán plaza del estudiante]  <80>
'el Portugues', Janny;La contrabandista (1982)  <22>
